"@115911 how much for the iPhone x with the jump? I’m not spending $200 plus on a phone 😂 sry | @116686 We'd love to provide you all the details, please DM for info! *JohnWard"
"So tell me how @115911 can tell me in 2014 that “in a year it’ll be $0 down on any phone I upgrade to... well. 2017: “To upgrade to a iPhone 7 Plus 32gb That’ll be about $560 down today :)” what happened to what i signed up for? The jump plan isnt applied to me? Bullshit | @116751 Ouch! We want you to upgrade at the best price, Randy! Send us a DM so we can chat about your options! *ElleA"
"@115911 needs to ship phones in inconspicuous boxes so they don't get stolen along the way at @115817!!!! Currently have 2 empty iPhone 8+ boxes SMH | @116753 Adrianne, that's definitely a crazy situation and we want to do everything we can to help. Send us a DM! *KittyG"
@sprintcare @115714 thinking about upgrading my wife’s iPhone 6.  What is your best offer? | @117001 Hey! We would need to see what offers are available to you. Send us a DM so we can further assist you. -CD
"if i would have started a youtube channel years ago Maybe apple would’ve sent over an iphoneX instead of me fighing @115911 over zerodown | @117235 Hey there! Send us a DM, I'll help you out :) *TiannahReagor"
is too late to pre-order the iphone x through @115911 if I have the JUMP Program | @117236 It's not too late at all! Please DM us so we can help with that. *JohnWard
"I’m starting to get concerned. There is no label created for my @115911 iPhone X yet and it releases Friday. I hope I get it Friday. | @117237 No worries one bit! Shoot me a DM, and I'll set your heart at ease! *DannyHarvey"
"@115714 went to get the new iPhone 10 today and your sales rep wouldn’t even take the time to look up from his phone to help. #veryrude | @117471 Good day Jessica, we don't want you to continue having problems. Please send us a Direct Message, so that we can further assist you. -KK"
@TMobileHelp are iPhone X preorders going to come in early ? Mine has said shipped for 2 days now or are we getting them the 3rd? | @117987 I'd love to provide you all the #MagentaDetails! Please DM me here: https://t.co/gAmFrAsnx1 💪😎🌟 *PatrickUllmann
@115911 can i use my jumpstart towards getting the iphonex? | @117990 Please DM us for all the ins and outs of making a Jump upgrade :) *JohnWard
Preordered my #iPhoneX on time before 5 on the 27 and still haven’t gotten a shipped email ..it still says pending @115714 😒 | @118031 You can verify the status of your order by accessing https://t.co/0qBF3Cekat. -FJ
Preordered my #iPhoneX on time before 5 on the 27 and still haven’t gotten a shipped email ..it still says pending @115714 😒 | @118031 We do apologize for the inconvenience. Orders were through the roof. -FJ
@TMobileHelp is the deal for $17/mo iPhone X with eligible trade in still available? | @118401 I would love to look into your options and get this taken care of :).  DM me: https://t.co/tdwt367vMq *NevinBruce
"@TMobileHelp I used my 1 jump to get the iPhone x. If for some reason I do not like It, what is the return? | @118551 Hey! I'm so X-cited about the iPhone X. Meet me in the DM so we can get on that! :) *JoySimmons"
"@sprintcare I had my iPhone replaced by Apple because it was defective. Now I can’t receive SMS messages from Verizon numbers. No one has been able to help me out. Hoping you can! I have reset my network settings. I can send SMS and receive MMS from Verizon numbers. | @118588 Hey Laura! Don't worry, we're here for you. How long have you had this issue? -CO"
@TMobileHelp Can I buy an iPhone X outright in store on Friday? | @118852 Hey Patrick I'm happy to let you know that you are able to buy the iPhone X in our stores beginning Friday. We ex... https://t.co/0FZGAF7Bwr
Will I get the iPhone X this Friday?! Hope the @115858 @115911 gods bless me! 🤔 | @119083 Hey Javi! Did you already place your order? Send us a DM and we can check the shipping info for you :) *KittyG
@TMobileHelp what is the price of the iPhone X for Jump on Demand? | @119564 The iPhone X is absolutely gorgeous. Shoot me a DM and we'll price it out! https://t.co/i0i27Ors9t *AdamJudge
#Game7 tomorrow and my #iPhoneX arrives on Friday! Thanks @117118 and @115911! #HR4HR | @119649 Yay! Love the enthusiasm! Woohooo! It's a GREAT week! *SarahPearson
Seeing that other’s iPhone X orders are shipping. Should I be concerned that mine is still being processed? @115911 🙃 https://t.co/t3OdtO2ukk | @119652 No. If yours doesn't ship by the date given send us a DM and we'll check into it for you Scott. *KaeW
#iphonex What are you doing T-Mobile? Placed my order at like 6:00 am in the morning on Friday! @115911 https://t.co/kUoBVDYDYB | @119745 Let's go over your order! send me a DM. :) https://t.co/dPHUAru2pc *MikeVance
@115913 @115911 are u kidding me!support says my #iPhoneX order cancelled because of a system glitch &amp; I’m out of luck! #MagentaMonday | @119924 @115913 I'll meet you back in DM. We'll figure this out. *ZachRicketts
"@115911 why has my sister been charged for her iPhone X and her has shipped, but my 2 X's still havent been charged or shipped... | @120052 Let's take a closer look at your order Ricky. DM us *KananiB"
Yooo @115911 my iPhone x got shipped today does that mean I might see I come in the next day or so? | @120345 Hooray! Send us a DM so we can go over shipping expectations with you :) https://t.co/IUIA5vQSHC *MattHargleroad
"same here dude no shipment activity but says label created, also ups says that they didn't have the package just that @115714 created one https://t.co/cZkEOJ2wUL | @120353 Hey there! To check updates regarding your order of your iPhone X, you can visit https://t.co/E2O5xci9LH. -MM"
@115911 is now making excuses for messing up my iPhone X order. | @120275 Hey there Shahrukh! Are you able to shoot me a DM my friend? *PrakashP
"@115911 need to let loyal customers get the iPhone 0 down for a change ijs 😒 | @120941 Hey Pam, send us a DM and we can take a look at your upgrade options :) *ChanneyT"
"Gonna say that @115911 sucks for iPhone Black Friday this year. Sprint will at least give me a $300 trade in credit for my S6Plus. | @121672 You always have the option to trade in your device, William! Send us a DM so we can go over some options with you! *ElleA"
iPhone X still hasn’t shipped. 🗣 STOP PLAYIN @115714 | @122643 Hi Q.  Find out the status of your order at https://t.co/hqOnhxrGCa. by entering the order number. -AC
"Will I be getting my iPhone X on Friday @115714 ? | @122644 Thanks for reaching out with this concern Byrd. Please send us a Direct Message, so that we can provide some info to you. -MM"
@TMobileHelp @115911 @UPSHelp @115817 anyone else iPhone x shipped but still says order process waiting for ups pick up? | @122738 That's very normal for pre-orders. Meet us in DM if you have further questions: https://t.co/AsNixOq0xa *SekiaSmith
@115913 new pain point - inability to modify shipping address of new #IphoneXPreOrder unless I cancel order...no iPhone this weekend 😒 | @123099 @115913 Let's make sure that you've explored all options! Shoot me a DM. https://t.co/EdLkYIfmTn *MariahDaigle
And definitively @115911 literally stole the 2 iPhone 6 that I turned in when I switched... no money for them and the won’t give them back | @123402 Ouch! That's not what we're about! Were the devices damaged? *ElleA
My iPhone 6s went from 60% to 24% in 28 minutes....sigh....on low power mode @115913 @115858 https://t.co/ZtQu5yvPqo | @123577 @115913 It's important to stay powered up and we definitely can take a closer look into this for you. Send us a DM and we'll see what's going on. https://t.co/w4odcPEa5r *MattLegleiter
"@115911 I traded in my iphone 5s on 9/8/2017 for an iphone 7. Store associate entered the rebate info for me. It failed. Offer #: 2353 | @124020 Okay, thanks for that info. Give us a brief breakdown about what's going on in a DM. We're here to help! *NaeJ"
"@TMobileHelp I was just charged for my iPhone X and was told this would happen when it shipped but it still says processing is this correct? | @124344 Hey there, Vincent! Lets go to a DM so I can take a look at this for you! 👍 *KerryS"
Ugh when is my iPhone X shipping @115911 ? | @124520 Depends when you ordered it Anita. If you need an estimate DM us. *KaeW
"@TMobileHelp I shouldn’t get rude responses calling in to your Solutions Center after they miss a follow up call, missing $300 iPhone credit | @124524 Hey, Chris! Please shoot me a DM, I'll get this straightened out for you :) #GotYourBack https://t.co/oNgSAZYqFR *JawedK"
"@sprintcare hey can you send me my iPhone x sooner thanks | @124985 You've got your place in line, you're part of the club now. Please visit https://t.co/E2O5xci9LH site to check status. -DJ"
@115714 I have the iPhone 7 with you guys I was wondering if I could switch it for the iPhone 8 Plus im still on contract | @125242 If you are on contract still you will need to pay out the lease on your current phone in order to upgrade to a new device. -FR
Hi @115911 my child smashed his iPhone 5. How can I replace the 5? He isn't responsible enough for more than that. Advice for aftermarket? https://t.co/ZVShuBxzax | @125454 You kid has some strength. DM us and let's look into all your options with us. Let's see what we can do. *JamieK
"I’m tryna see what’s up with this iPhone x @115911 👀👀 | @125941 You can pre-order one with us right now, Christine! We're ready when you are. DM us here so we can help out. *BlakeT"
So... I just got my tracking number for my #iPhoneX... @115714 stepping it up. A nice surprise... | @126488 That's great news Jacqueline. Thank you for choosing Sprint as your wireless provider and for your continued patience. -AH
"""Hey, @115714: are y'all really gonna keep me from getting a Galaxy S4? I'm not an iPhone head or feeling any of your newer/current joints."" | @127049 You would have to purchase through a 3rd party vendor."
"""Hey, @115714: are y'all really gonna keep me from getting a Galaxy S4? I'm not an iPhone head or feeling any of your newer/current joints."" | @127049 Hello there. We won't keep you from getting a Galaxy S4 however we may not have the S4's in stock."
@115911 will there be any chance of iPhone X in stores on launch day for walk in customers? | @127256 Of course! You can also call on your way there! Check out the store numbers here: https://t.co/PiPSI4hjzv *RachelMartin
